fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 225614	-0.518622655414219	4343.35208215058	95.1573977757071	18	5	18093333.3333333	1
20220911 225622	-0.771274590397661	3383.41057846796	451.784251813137	5	5	18453333.3333333	2
20220911 225631	-0.552571012235421	2568.756814525	854.677933556624	7	5	18440000	3
20220911 225644	-0.171123398999043	2977.68150527218	304.817296070716	14	5	19013333.3333333	4
20220911 225651	0.0834240643511295	3633.70524644415	403.117188776276	20	5	-1180000	5
20220911 225703	-0.430124195756798	4629.11714915778	198.314778615255	13	5	17800000	6
20220911 225716	-0.946409898244019	1542.55427293388	625.956336220639	16	5	19773333.3333333	7
20220911 225722	-0.372509558824822	2042.94743934355	622.830756239855	3	5	18506666.6666667	8
20220911 225733	-0.897956256242469	4041.60947522912	503.122358246677	10	5	18066666.6666667	9
20220911 225744	-0.839405485466705	919.557534255699	153.203631809112	9	5	20866666.6666667	10
20220911 225754	-0.0302690916752908	2264.21241800998	7.09538224279822	7	5	19146666.6666667	11
20220911 225806	-0.298175951059966	4910.42325665566	753.980882774791	17	5	17466666.6666667	12
20220911 225816	-0.243426397320582	4497.19579003891	978.208776628133	9	5	17680000	13
20220911 225823	0.0676564709458036	1716.0434698388	584.92849116656	20	5	-1220000	14
20220911 225832	-0.814341854327358	2853.55231366208	438.628852938244	7	5	19146666.6666667	15
20220911 225847	-0.606234855786897	615.177665234718	166.381399513921	16	5	20600000	16
20220911 225903	-0.999269891166351	4790.71370066417	1.07382098614177	16	5	17093333.3333333	17
20220911 225915	-0.995850353383368	9.67251907533434	1.68980464678027	8	5	20360000	18
20220911 225934	-0.984724959557172	8.06104300201692	3.93878118970763	17	5	9720000	19
20220911 225948	-0.633413936771294	4166.14424892603	618.233372372792	16	5	18120000	20
20220911 225958	-0.105945910163118	4803.90436346692	909.227466430349	8	5	17360000	21
20220911 230008	0.0967401657892173	3.33466118622079	1.06742271776387	9	5	-1060000	22
20220911 230016	-0.128314450082384	3243.20811669865	1.46874261393492	4	5	18666666.6666667	23
20220911 230026	-0.998236364016368	1443.38322089559	612.919659285264	6	5	19800000	24
20220911 230041	-0.576341121763872	1845.73272160603	232.021431511945	14	5	20413333.3333333	25
20220911 230048	-0.944852229584724	1189.03898749436	1.1856508981676	3	5	16960000	26
20220911 230103	-0.770817626518496	1383.91161348009	691.721080265738	13	5	19386666.6666667	27
20220911 230116	-0.66468951824613	275.692500675089	49.9434293725823	8	5	21333333.3333333	28
20220911 230129	-0.96184689381382	1999.04040082151	999.229349826337	12	5	18493333.3333333	29
20220911 230141	-0.292540300349772	1925.97604314393	4.36346976568215	9	5	19973333.3333333	30
20220911 230152	-0.185416632438941	2582.82767891875	388.616544482912	7	5	19880000	31
20220911 230207	-0.463115480965939	1359.44442894934	619.329883471344	16	5	19546666.6666667	32
20220911 230218	-0.736534053602755	624.890876883904	311.128317541576	7	5	21040000	33
20220911 230231	-0.616442759044601	1089.92684221534	2.51502670900643	8	5	21013333.3333333	34
20220911 230247	-0.378434569167226	2766.29192492849	1.5853939033299	15	5	18826666.6666667	35
20220911 230302	-0.600325740259282	634.408005550241	316.398054391885	10	5	20453333.3333333	36
20220911 230319	-0.660434804345936	1623.66673672076	479.581760869402	18	5	19933333.3333333	37
20220911 230332	-0.999901929384892	1728.87955132684	40.7129214045543	9	5	20360000	38
20220911 230344	-0.548412023738422	132.124228486897	61.6156542048133	6	5	21106666.6666667	39
20220911 230355	-0.493520352237545	2046.38090547358	20.2327322113854	6	5	19400000	40
20220911 230405	-0.796539154742043	4.09237464175467	1.24463108929602	6	5	20266666.6666667	41
20220911 230417	-0.958181118865241	737.023645116145	367.780465808115	8	5	20026666.6666667	42
20220911 230432	-0.849587989198603	2468.56293247181	299.746826131335	16	5	19586666.6666667	43
20220911 230444	-0.605655781919666	515.813011606005	125.842204457149	7	5	22306666.6666667	44
20220911 230453	-0.615615440523828	511.872068630636	161.060883025335	5	5	20426666.6666667	45
20220911 230504	-0.523593038292081	621.069921814391	132.502391173159	7	5	21506666.6666667	46
20220911 230512	-0.999609935231254	4999.47528492769	721.647762558252	3	5	17293333.3333333	47
20220911 230525	-0.999815995087795	3442.89927682948	999.347858123086	20	5	18200000	48
20220911 230538	-0.167311438302701	3633.1838623615	1.07779652575881	10	5	17626666.6666667	49
20220911 230546	-0.491808719609094	4999.84584735443	996.443780963389	3	5	17920000	50
20220911 230559	-0.834573868098239	4998.65831931241	892.392953176062	20	5	17546666.6666667	51
20220911 230611	-0.043058093637938	2778.23398436932	999.430926469621	3	5	17640000	52
20220911 230621	-0.780863995596291	4998.12748361922	1.87849983578577	6	5	17346666.6666667	53
20220911 230636	-0.81999122611887	1986.05114668185	992.557579565384	17	5	18293333.3333333	54
20220911 230646	-0.87188365384992	1546.99345480862	139.109498924656	7	5	20133333.3333333	55
20220911 230700	-0.999995735235807	3016.82905881288	645.358304593536	14	5	18866666.6666667	56
20220911 230710	-0.999991853695609	3469.98031512384	61.5241558451955	6	5	17760000	57
20220911 230727	-0.584323155233462	1338.05702079669	6.0609754092524	16	5	19253333.3333333	58
20220911 230741	-0.301404576607079	2374.35047709922	756.815892870248	13	5	18893333.3333333	59
20220911 230749	-0.143721717336922	2007.87583778345	76.9335265669416	3	5	17933333.3333333	60
20220911 230757	0.0994046754831862	4999.10964917955	4.96255358528841	3	5	-653333.333333333	61
20220911 230807	-0.339836373573006	3028.73611439708	196.16034750939	7	5	19173333.3333333	62
20220911 230818	-0.745436128445207	4999.90269625544	998.735975663271	7	5	17760000	63
20220911 230834	-0.544568722221925	673.618731972469	336.456382573222	20	5	20813333.3333333	64
20220911 230848	-0.545979755121548	2483.17320914692	570.362078146595	20	5	19413333.3333333	65
20220911 230900	-0.584795985641517	463.837071329079	81.4522470472233	7	5	21893333.3333333	66
20220911 230912	-0.403668254733403	196.216709525017	97.7323623413249	7	5	21120000	67
20220911 230931	-0.311998461758738	407.282760240921	202.474590706545	20	5	20813333.3333333	68
20220911 230948	-0.420953605327232	1531.00595679287	250.920455269883	20	5	21106666.6666667	69
20220911 231004	-0.302024612860014	363.815648872251	181.433809143763	14	5	19800000	70
20220911 231020	-0.755556805653462	4995.80051142168	234.678314711851	20	5	17493333.3333333	71
20220911 231038	-0.269104725879171	2064.96016827158	149.246370714494	20	5	19893333.3333333	72
20220911 231054	-0.34401758282704	1570.13731900413	376.059809901343	18	5	20653333.3333333	73
20220911 231105	-0.103884353422089	2327.13766718061	118.191925809284	7	5	20026666.6666667	74
20220911 231123	-0.459077270290627	269.045993986639	134.137476015541	18	5	19680000	75
20220911 231134	-0.276678878918692	620.258827262347	2.07237563674564	6	5	19920000	76
20220911 231144	-0.262068973873059	2008.01174650339	999.975826438873	5	5	18360000	77
20220911 231156	-0.756904929095813	1504.42822318583	134.311092817369	8	5	20453333.3333333	78
20220911 231208	-0.606183528379586	394.848953982382	188.102836541214	7	5	20880000	79
20220911 231218	-0.206284720799475	3305.00553993669	766.041865933883	5	5	18760000	80
20220911 231228	-0.605298217591029	4999.95968453336	509.40214438473	6	5	17600000	81
20220911 231244	-0.376190424818746	835.92374701094	310.447791913784	20	5	20466666.6666667	82
20220911 231253	-0.843791497923784	1722.61646484418	860.120557551648	3	5	18306666.6666667	83
20220911 231307	-0.426285702810359	3292.7682335292	999.749998008685	20	5	18133333.3333333	84
20220911 231319	-0.615598757215581	663.958880212917	108.88261692767	8	5	21693333.3333333	85
20220911 231330	-0.677950600347928	601.984666406404	114.155787778767	7	5	22066666.6666667	86
20220911 231345	-0.433168801627662	2930.96682867254	402.186498669728	15	5	18973333.3333333	87
20220911 231400	-0.593768442781547	1623.95622044328	811.776007355754	20	5	18973333.3333333	88
20220911 231415	-0.839054818709073	905.352989615508	452.532727866817	12	5	19853333.3333333	89
20220911 231426	-0.698445478771428	1173.13862870105	584.541085398437	6	5	19800000	90
20220911 231442	-0.321047519743355	1623.00727873006	255.344538002711	17	5	20733333.3333333	91
20220911 231500	-0.601468550664374	1630.25813132637	145.57712468423	20	5	20293333.3333333	92
20220911 231514	-0.206766273002308	2016.16506775104	999.954085650601	20	5	18586666.6666667	93
20220911 231529	-0.999092146308277	4997.70838332884	319.473607173922	13	5	17546666.6666667	94
20220911 231545	-0.246183028885762	1019.40350003461	506.904322755678	20	5	19133333.3333333	95
20220911 231559	-0.605923700615346	717.372473664155	124.094701776189	11	5	21866666.6666667	96
20220911 231613	-0.890484641141072	2133.58780282586	728.780534162964	20	5	18733333.3333333	97
20220911 231629	-0.136388465472948	1678.38446551925	835.076221027108	7	5	18333333.3333333	98
