fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221002 013959	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	110	TRUE	111119	0.163478878268332	0.414321569744498	6242	743	8613	26380000	1
20221002 014010	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	111119	0.176749076835811	0.799568130932748	5633	788	14290	23900000	2
20221002 014033	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	141	TRUE	111119	0.135013144412369	0.548295740215108	5521	862	12380	2.5e+07	3
20221002 014058	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	187	TRUE	111119	0.0833453947267844	0.669080121247098	4959	749	11433	26020000	4
20221002 014107	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	111119	0.222717244520376	0.856388782942668	5355	894	7012	25340000	5
20221002 014124	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	72	TRUE	111119	0.111074075117242	0.471179486438632	6105	693	12615	25170000	6
20221002 014208	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	276	TRUE	111119	0.076092300850607	0.362949478952214	4696	667	9816	27010000	7
20221002 014218	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	111119	0.266616404561442	0.492706929873675	5210	615	5034	23460000	8
20221002 014229	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	111119	0.292277410776936	0.57783181396313	5497	853	7642	25360000	9
20221002 014247	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	111119	0.099619809263153	0.355080849891528	5873	901	9368	26150000	10
20221002 014315	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	189	TRUE	111119	0.0470291687498684	0.8071396898292	5903	793	6005	25430000	11
20221002 014327	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	111119	0.209585197531036	0.213085209708661	5075	658	10245	24790000	12
20221002 014339	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	111119	0.144826012633974	0.738790339743719	4592	820	8293	26780000	13
20221002 014410	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	151	TRUE	111119	0.0268291283110157	0.952966743325815	6425	927	11983	24920000	14
