fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221028 172206	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	588	1	1	1	0.1	50	0.5	FALSE	100019	0.152052396487343	0.331402942864224	1127	1043	0.00000149171353704997	14242	15516000	1
20221028 172624	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	356	1	1	1	0.1	50	0.5	FALSE	100019	0.159052308311366	0.424036868102849	5166	783	0.00528575779550455	13775	18050000	2
20221028 173726	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	584	1	1	1	0.1	50	0.5	FALSE	100019	0.0981687711489212	0.582162770628929	539	1362	0.00000262197655062081	11876	19048000	3
20221028 173932	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	275	1	1	1	0.1	50	0.5	FALSE	100019	0.245555583749519	0.684685451420955	4477	619	0.0020562051311423	13394	16252000	4
20221028 174131	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	404	1	1	1	0.1	50	0.5	FALSE	100019	0.0470794144837419	0.995320159441326	3821	1746	0.0138842531578102	15054	17972000	5
20221028 174257	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	361	1	1	1	0.1	50	0.5	FALSE	100019	0.0916832977557351	0.916420855233446	4872	974	0.0124515297322645	12710	18660000	6
20221028 174423	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	313	1	1	1	0.1	50	0.5	FALSE	100019	0.242438647238596	0.700367317092605	1598	275	0.00015312850327242	14490	14620000	7
20221028 174626	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	814	1	1	1	0.1	50	0.5	FALSE	100019	0.0769182660253136	0.206919079669751	6392	455	0.00950987014459354	13091	18618000	8
20221028 174822	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	312	1	1	1	0.1	50	0.5	FALSE	100019	0.200126081567287	0.504581338993739	77	1465	0.000000499863924602214	12668	16504000	9
20221028 174940	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	221	1	1	1	0.1	50	0.5	FALSE	100019	0.13148402838473	0.291423072002363	6563	1589	0.0176861269973743	13895	18290000	10
20221028 175038	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	83	1	1	1	0.1	50	0.5	FALSE	100019	0.221593167114625	0.862293738080189	2501	1204	0.0120112125993688	13106	18428000	11
20221028 175110	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	26	1	1	1	0.1	50	0.5	FALSE	100019	0.294418133507716	0.796227272727992	7071	234	0.0226232270312217	14262	17636000	12
20221028 175614	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1781	1	1	1	0.1	50	0.5	FALSE	100019	0.0244893655856868	0.827372563479003	5896	93	0.0114055251161055	14938	17564000	13
20221028 180324	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1782	1	1	1	0.1	50	0.5	FALSE	100019	0.00888219943830336	0.62820989806205	3073	1946	0.0149232558940486	14672	18576000	14
20221028 180414	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	110	1	1	1	0.1	50	0.5	FALSE	100019	0.281076556948828	0.46184910684824	7976	1886	0.0153098164040376	15349	16742000	15
20221028 180512	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	123	1	1	1	0.1	50	0.5	FALSE	100019	0.183575612068889	0.350613825873006	2176	672	0.00818888396119554	13816	17088000	16
20221028 180659	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	170	1	1	1	0.1	50	0.5	FALSE	100019	0.0601800803369917	0.595121187672834	1575	1678	0.0150387129027853	14553	17534000	17
20221028 180924	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	480	1	1	1	0.1	50	0.5	FALSE	100019	0.0959069968575263	0.711865315144117	2104	1218	0.000624119609329805	14172	17816000	18
